ObjectID;Numéro du bureau de vote;Libellé du bureau de vote;Adresse;Code Postal;Identifiant du bureau de vote;geo_shape;geo_point_2d
7;7;COLLEGE D'ENSEIGNEMENT SECONDAIRE POQUELIN;6 RUE MOLIERE;75001;1-7;"{""type"": ""Point"", ""coordinates"": [2.335488359834315, 48.864652867508056]}";48.8646528675, 2.33548835983
8;8;ECOLE ELEMENTAIRE;11 RUE D ARGENTEUIL;75001;1-8;"{""type"": ""Point"", ""coordinates"": [2.33382325877587, 48.864885759679275]}";48.8648857597, 2.33382325878
12;2;INHA;2 RUE VIVIENNE;75002;2-2;"{""type"": ""Point"", ""coordinates"": [2.338842462716922, 48.866498787087174]}";48.8664987871, 2.33884246272
17;7;ECOLE ELEMENTAIRE;20 RUE ETIENNE MARCEL;75002;2-7;"{""type"": ""Point"", ""coordinates"": [2.34831457297985, 48.864140575177004]}";48.8641405752, 2.34831457298
18;8;ECOLE ELEMENTAIRE;42 RUE DUSSOUBS;75002;2-8;"{""type"": ""Point"", ""coordinates"": [2.349694351116603, 48.86716386884836]}";48.8671638688, 2.34969435112
28;8;LYCEE VICTOR HUGO;6 RUE PAYENNE;75003;3-8;"{""type"": ""Point"", ""coordinates"": [2.362275392361232, 48.85782772152068]}";48.8578277215, 2.36227539236
29;9;ECOLE ELEMENTAIRE;211 RUE SAINT MARTIN;75003;3-9;"{""type"": ""Point"", ""coordinates"": [2.35281230895645, 48.86407166584712]}";48.8640716658, 2.35281230896
36;1;MAIRIE D'ARRONDISSEMENT;2 PLACE BAUDOYER;75004;4-1;"{""type"": ""Point"", ""coordinates"": [2.355692851936706, 48.85618806404231]}";48.856188064, 2.35569285194
44;9;ECOLE MATERNELLE;18 RUE POULLETIER;75004;4-9;"{""type"": ""Point"", ""coordinates"": [2.358314136725693, 48.85147074415421]}";48.8514707442, 2.35831413673
51;2;ECOLE ELEMENTAIRE;14 RUE VICTOR COUSIN;75005;5-2;"{""type"": ""Point"", ""coordinates"": [2.342080194144302, 48.84743178987068]}";48.8474317899, 2.34208019414
57;8;ECOLE ELEMENTAIRE;250 bis RUE SAINT JACQUES;75005;5-8;"{""type"": ""Point"", ""coordinates"": [2.341354361031483, 48.84386905152093]}";48.8438690515, 2.34135436103
58;9;LYCEE LAVOISIER;17 RUE HENRI BARBUSSE;75005;5-9;"{""type"": ""Point"", ""coordinates"": [2.3392948055249843, 48.84235456177915]}";48.8423545618, 2.33929480552
64;15;GYMNASE DES PATRIARCHES;5 PLACE BERNARD HALPERN;75005;5-15;"{""type"": ""Point"", ""coordinates"": [2.350808454000061, 48.84058970443601]}";48.8405897044, 2.350808454
68;19;GYMNASE POLIVEAU;39 bis RUE POLIVEAU;75005;5-19;"{""type"": ""Point"", ""coordinates"": [2.3574807517302823, 48.83981215507105]}";48.8398121551, 2.35748075173
69;20;ECOLE ELEMENTAIRE;11 RUE BUFFON;75005;5-20;"{""type"": ""Point"", ""coordinates"": [2.362475969027957, 48.84279872856168]}";48.8427987286, 2.36247596903
71;22;ECOLE ELEMENTAIRE;21 RUE DE PONTOISE;75005;5-22;"{""type"": ""Point"", ""coordinates"": [2.351264111575852, 48.84874986538414]}";48.8487498654, 2.35126411158
74;25;ECOLE ELEMENTAIRE;10 RUE ROLLIN;75005;5-25;"{""type"": ""Point"", ""coordinates"": [2.350853581696584, 48.844748853579695]}";48.8447488536, 2.3508535817
77;3;ECOLE ELEMENTAIRE;9 RUE DE VAUGIRARD;75006;6-3;"{""type"": ""Point"", ""coordinates"": [2.339891246170889, 48.84892065492426]}";48.8489206549, 2.33989124617
78;4;ETABLISSEMENT SCOLAIRE;2 RUE DU PONT DE LODI;75006;6-4;"{""type"": ""Point"", ""coordinates"": [2.340619505842088, 48.854935408898754]}";48.8549354089, 2.34061950584
87;13;CENTRE ANDRE MALRAUX;112 RUE DE RENNES;75006;6-13;"{""type"": ""Point"", ""coordinates"": [2.327529609247871, 48.847869864850495]}";48.8478698649, 2.32752960925
94;20;INSTITUT NOTRE DAME DE SION;61 RUE NOTRE DAME DES CHAMPS;75006;6-20;"{""type"": ""Point"", ""coordinates"": [2.331052973149332, 48.84373778468044]}";48.8437377847, 2.33105297315
96;22;ECOLE ALSACIENNE;109 RUE NOTRE DAME DES CHAMPS;75006;6-22;"{""type"": ""Point"", ""coordinates"": [2.333814832714239, 48.841017653752694]}";48.8410176538, 2.33381483271
98;2;ECOLE POLYVALENTE;27 RUE LAS CASES;75007;7-2;"{""type"": ""Point"", ""coordinates"": [2.318591447391616, 48.858978423194415]}";48.8589784232, 2.31859144739
102;6;MAIRIE D'ARRONDISSEMENT;116 RUE DE GRENELLE;75007;7-6;"{""type"": ""Point"", ""coordinates"": [2.320043697318318, 48.856866485651466]}";48.8568664857, 2.32004369732
103;7;INSTITUT D'ETUDES POLITIQUES;27 RUE SAINT GUILLAUME;75007;7-7;"{""type"": ""Point"", ""coordinates"": [2.328395892466149, 48.85413398347736]}";48.8541339835, 2.32839589247
105;9;ECOLE ELEMENTAIRE;42 AVENUE DUQUESNE;75007;7-9;"{""type"": ""Point"", ""coordinates"": [2.313024270456671, 48.84959294935872]}";48.8495929494, 2.31302427046
108;12;ECOLE ELEMENTAIRE;42 AVENUE DUQUESNE;75007;7-12;"{""type"": ""Point"", ""coordinates"": [2.313024270456671, 48.84959294935872]}";48.8495929494, 2.31302427046
111;15;ECOLE ELEMENTAIRE;10 AVENUE DE LA MOTTE PICQUET;75007;7-15;"{""type"": ""Point"", ""coordinates"": [2.309080059051487, 48.85691247965493]}";48.8569124797, 2.30908005905
124;3;ANNEXE DU LYCEE RACINE;38 RUE DE NAPLES;75008;8-3;"{""type"": ""Point"", ""coordinates"": [2.31640669540361, 48.879313351570524]}";48.8793133516, 2.3164066954
136;15;MAISON DES ASSOCIATIONS;28 RUE LAURE DIEBOLD;75008;8-15;"{""type"": ""Point"", ""coordinates"": [2.304784825574433, 48.87602928391506]}";48.8760292839, 2.30478482557
138;17;ECOLE ELEMENTAIRE;7 RUE ROBERT ESTIENNE;75008;8-17;"{""type"": ""Point"", ""coordinates"": [2.305216023193974, 48.86866768869151]}";48.8686676887, 2.30521602319
143;4;ECOLE MATERNELLE;11 RUE DE LA GRANGE BATELIERE;75009;9-4;"{""type"": ""Point"", ""coordinates"": [2.342063799577491, 48.87301747330384]}";48.8730174733, 2.34206379958
162;23;ECOLE ELEMENTAIRE;45 RUE DE LA TOUR D AUVERGNE;75009;9-23;"{""type"": ""Point"", ""coordinates"": [2.340911947198345, 48.8797224867144]}";48.8797224867, 2.3409119472
165;26;ECOLE ELEMENTAIRE;15 RUE TURGOT;75009;9-26;"{""type"": ""Point"", ""coordinates"": [2.345147046855935, 48.88050058247676]}";48.8805005825, 2.34514704686
167;1;MAIRIE D'ARRONDISSEMENT;72 RUE DU FAUBOURG SAINT MARTIN;75010;10-1;"{""type"": ""Point"", ""coordinates"": [2.357382644948622, 48.87178451190306]}";48.8717845119, 2.35738264495
176;10;ECOLE ELEMENTAIRE;17 RUE DE MARSEILLE;75010;10-10;"{""type"": ""Point"", ""coordinates"": [2.36382465940898, 48.87175161694108]}";48.8717516169, 2.36382465941
181;15;ECOLE ELEMENTAIRE;16 RUE VICQ D AZIR;75010;10-15;"{""type"": ""Point"", ""coordinates"": [2.370558691684241, 48.87606960102597]}";48.876069601, 2.37055869168
182;16;ECOLE MATERNELLE;18 RUE VICQ D AZIR;75010;10-16;"{""type"": ""Point"", ""coordinates"": [2.370702373345587, 48.876070518312844]}";48.8760705183, 2.37070237335
185;19;ECOLE ELEMENTAIRE;10 RUE EUGENE VARLIN;75010;10-19;"{""type"": ""Point"", ""coordinates"": [2.36477403552505, 48.87833745297161]}";48.878337453, 2.36477403553
196;30;ECOLE MATERNELLE;14 RUE BOSSUET;75010;10-30;"{""type"": ""Point"", ""coordinates"": [2.352506614308577, 48.87913850844485]}";48.8791385084, 2.35250661431
203;37;ECOLE ELEMENTAIRE;9 RUE MARTEL;75010;10-37;"{""type"": ""Point"", ""coordinates"": [2.352914620723137, 48.87397516876514]}";48.8739751688, 2.35291462072
207;2;ECOLE ELEMENTAIRE;11 bis AVENUE PARMENTIER;75011;11-2;"{""type"": ""Point"", ""coordinates"": [2.378800231131656, 48.859756040342425]}";48.8597560403, 2.37880023113
209;4;ECOLE ELEMENTAIRE;35 RUE GODEFROY CAVAIGNAC;75011;11-4;"{""type"": ""Point"", ""coordinates"": [2.380494278429646, 48.85608077990476]}";48.8560807799, 2.38049427843
211;6;ECOLE ELEMENTAIRE;33 RUE SAINT BERNARD;75011;11-6;"{""type"": ""Point"", ""coordinates"": [2.380793951541276, 48.852830981836924]}";48.8528309818, 2.38079395154
232;27;ECOLE ELEMENTAIRE;109 AVENUE PARMENTIER;75011;11-27;"{""type"": ""Point"", ""coordinates"": [2.372622068970318, 48.867615109300246]}";48.8676151093, 2.37262206897
233;28;GROUPE SCOLAIRE;39 RUE DES TROIS BORNES;75011;11-28;"{""type"": ""Point"", ""coordinates"": [2.374600992300673, 48.86734855910311]}";48.8673485591, 2.3746009923
234;29;GROUPE SCOLAIRE;39 RUE DES TROIS BORNES;75011;11-29;"{""type"": ""Point"", ""coordinates"": [2.374600992300673, 48.86734855910311]}";48.8673485591, 2.3746009923
235;30;GROUPE SCOLAIRE;39 RUE DES TROIS BORNES;75011;11-30;"{""type"": ""Point"", ""coordinates"": [2.374600992300673, 48.86734855910311]}";48.8673485591, 2.3746009923
241;36;ECOLE ELEMENTAIRE;98 AVENUE DE LA REPUBLIQUE;75011;11-36;"{""type"": ""Point"", ""coordinates"": [2.382373622717376, 48.863630582813244]}";48.8636305828, 2.38237362272
252;47;ECOLE ELEMENTAIRE ALEXANDRE DUMAS;30 PASSAGE DU BUREAU;75011;11-47;"{""type"": ""Point"", ""coordinates"": [2.393878246327018, 48.8544194168055]}";48.8544194168, 2.39387824633
253;48;ECOLE ELEMENTAIRE;4 AVENUE DE BOUVINES;75011;11-48;"{""type"": ""Point"", ""coordinates"": [2.396500499132046, 48.849852763228]}";48.8498527632, 2.39650049913
257;52;ECOLE ELEMENTAIRE;16 RUE TITON;75011;11-52;"{""type"": ""Point"", ""coordinates"": [2.386507361001294, 48.851641287386755]}";48.8516412874, 2.386507361
263;3;ECOLE MATERNELLE;56 RUE DE PICPUS;75012;12-3;"{""type"": ""Point"", ""coordinates"": [2.396622588122308, 48.843591411940835]}";48.8435914119, 2.39662258812
267;7;ECOLE ELEMENTAIRE B;56 RUE DE PICPUS;75012;12-7;"{""type"": ""Point"", ""coordinates"": [2.396622588122308, 48.843591411940835]}";48.8435914119, 2.39662258812
269;9;ECOLE ELEMENTAIRE;6 RUE BIGNON;75012;12-9;"{""type"": ""Point"", ""coordinates"": [2.388926736947814, 48.84077056725588]}";48.8407705673, 2.38892673695
274;14;ECOLE ELEMENTAIRE B;57 RUE DE REUILLY;75012;12-14;"{""type"": ""Point"", ""coordinates"": [2.388583675795725, 48.84576439179544]}";48.8457643918, 2.3885836758
277;17;ECOLE ELEMENTAIRE A;56 RUE DE PICPUS;75012;12-17;"{""type"": ""Point"", ""coordinates"": [2.396622588122308, 48.843591411940835]}";48.8435914119, 2.39662258812
291;31;ECOLE ELEMENTAIRE;19 RUE MARSOULAN;75012;12-31;"{""type"": ""Point"", ""coordinates"": [2.403156688935975, 48.84639431353634]}";48.8463943135, 2.40315668894
296;36;ECOLE ELEMENTAIRE A;10 AVENUE LAMORICIERE;75012;12-36;"{""type"": ""Point"", ""coordinates"": [2.412337920609003, 48.84486769219551]}";48.8448676922, 2.41233792061
300;40;ECOLE ELEMENTAIRE A;83 AVENUE DU GENERAL MICHEL BIZOT;75012;12-40;"{""type"": ""Point"", ""coordinates"": [2.403531424353221, 48.83725384356048]}";48.8372538436, 2.40353142435
303;43;ECOLE ELEMENTAIRE B;253 ter AVENUE DAUMESNIL;75012;12-43;"{""type"": ""Point"", ""coordinates"": [2.403118295769341, 48.837044659627985]}";48.8370446596, 2.40311829577
335;11;ECOLE ELEMENTAIRE;173 RUE DU CHATEAU DES RENTIERS;75013;13-11;"{""type"": ""Point"", ""coordinates"": [2.361806287554277, 48.83038656330462]}";48.8303865633, 2.36180628755
342;18;ECOLE ELEMENTAIRE B;55 RUE BAUDRICOURT;75013;13-18;"{""type"": ""Point"", ""coordinates"": [2.363135199592029, 48.82577113005029]}";48.8257711301, 2.36313519959
352;28;ECOLE ELEMENTAIRE B;30 PLACE JEANNE D ARC;75013;13-28;"{""type"": ""Point"", ""coordinates"": [2.368889206497024, 48.830085077014765]}";48.830085077, 2.3688892065
353;29;ECOLE ELEMENTAIRE B;30 PLACE JEANNE D ARC;75013;13-29;"{""type"": ""Point"", ""coordinates"": [2.368889206497024, 48.830085077014765]}";48.830085077, 2.3688892065
359;35;ECOLE ELEMENTAIRE;103 AVENUE DE CHOISY;75013;13-35;"{""type"": ""Point"", ""coordinates"": [2.360696095728102, 48.82495047649105]}";48.8249504765, 2.36069609573
363;39;L E I GASTON BACHELARD;2 RUE TAGORE;75013;13-39;"{""type"": ""Point"", ""coordinates"": [2.360346525720605, 48.82071610023313]}";48.8207161002, 2.36034652572
366;42;COLLEGE EVARISTE GALOIS;11 RUE DU DOCTEUR BOURNEVILLE;75013;13-42;"{""type"": ""Point"", ""coordinates"": [2.358378717541301, 48.81844173614743]}";48.8184417361, 2.35837871754
367;43;ECOLE MATERNELLE;2 PLACE DES QUARANTE-QUATRE ENFANTS D'IZIEU;75013;13-43;"{""type"": ""Point"", ""coordinates"": [2.356256611087312, 48.821637348924035]}";48.8216373489, 2.35625661109
368;44;ECOLE MATERNELLE;8 RUE KUSS;75013;13-44;"{""type"": ""Point"", ""coordinates"": [2.351305566352578, 48.8222309933788]}";48.8222309934, 2.35130556635
371;47;LYCEE PROFESSIONNEL;94 RUE BARRAULT;75013;13-47;"{""type"": ""Point"", ""coordinates"": [2.346623591705893, 48.82326128385724]}";48.8232612839, 2.34662359171
372;48;ECOLE ELEMENTAIRE A;5 RUE DE LA PROVIDENCE;75013;13-48;"{""type"": ""Point"", ""coordinates"": [2.348883247208958, 48.82534795113547]}";48.8253479511, 2.34888324721
373;49;ECOLE ELEMENTAIRE A;5 RUE DE LA PROVIDENCE;75013;13-49;"{""type"": ""Point"", ""coordinates"": [2.348883247208958, 48.82534795113547]}";48.8253479511, 2.34888324721
376;52;ECOLE ELEMENTAIRE;16 RUE WURTZ;75013;13-52;"{""type"": ""Point"", ""coordinates"": [2.344618522106466, 48.8269319304423]}";48.8269319304, 2.34461852211
380;56;COLLEGE DU MOULIN DES PRES;18 RUE DU MOULIN DES PRES;75013;13-56;"{""type"": ""Point"", ""coordinates"": [2.352713362105843, 48.82878642232167]}";48.8287864223, 2.35271336211
385;61;ECOLE MATERNELLE;2 RUE PAUL GERVAIS;75013;13-61;"{""type"": ""Point"", ""coordinates"": [2.347516644731059, 48.831543532064366]}";48.8315435321, 2.34751664473
389;65;ECOLE ELEMENTAIRE;30 BOULEVARD ARAGO;75013;13-65;"{""type"": ""Point"", ""coordinates"": [2.347458518773279, 48.83560045373689]}";48.8356004537, 2.34745851877
396;1;ANNEXE DE LA MAIRIE D'ARRONDISSEMENT;12 RUE PIERRE CASTAGNOU;75014;14-1;"{""type"": ""Point"", ""coordinates"": [2.325920050643497, 48.83274771195874]}";48.832747712, 2.32592005064
398;3;ECOLE ELEMENTAIRE;46 RUE BOULARD;75014;14-3;"{""type"": ""Point"", ""coordinates"": [2.327836190204344, 48.832662577708895]}";48.8326625777, 2.3278361902
410;15;ECOLE ELEMENTAIRE;71 RUE DE L OUEST;75014;14-15;"{""type"": ""Point"", ""coordinates"": [2.318447369773447, 48.83558636802871]}";48.835586368, 2.31844736977
418;23;ECOLE MATERNELLE;10 RUE SEVERO;75014;14-23;"{""type"": ""Point"", ""coordinates"": [2.323718733644566, 48.8323926780021]}";48.832392678, 2.32371873364
422;27;COLLEGE SAINT-EXUPERY;89 BOULEVARD ARAGO;75014;14-27;"{""type"": ""Point"", ""coordinates"": [2.335436900701826, 48.8343490393511]}";48.8343490394, 2.3354369007
424;29;ANNEXE DE LA MAIRIE D'ARRONDISSEMENT;12 RUE PIERRE CASTAGNOU;75014;14-29;"{""type"": ""Point"", ""coordinates"": [2.325920050643497, 48.83274771195874]}";48.832747712, 2.32592005064
430;35;LYCEE TECHNOLOGIQUE EMILE DUBOIS;14 RUE EMILE DUBOIS;75014;14-35;"{""type"": ""Point"", ""coordinates"": [2.336936361686134, 48.83176558811381]}";48.8317655881, 2.33693636169
439;44;STADE ELISABETH;7 AVENUE PAUL APPELL;75014;14-44;"{""type"": ""Point"", ""coordinates"": [2.328650571739261, 48.82115740632758]}";48.8211574063, 2.32865057174
442;47;ECOLE MATERNELLE;48 RUE HIPPOLYTE MAINDRON;75014;14-47;"{""type"": ""Point"", ""coordinates"": [2.32055918755773, 48.830404583219156]}";48.8304045832, 2.32055918756
444;49;ECOLE ELEMENTAIRE;28 RUE PIERRE LAROUSSE;75014;14-49;"{""type"": ""Point"", ""coordinates"": [2.314210388191972, 48.829097699016955]}";48.829097699, 2.31421038819
445;50;ECOLE ELEMENTAIRE;28 RUE PIERRE LAROUSSE;75014;14-50;"{""type"": ""Point"", ""coordinates"": [2.314210388191972, 48.829097699016955]}";48.829097699, 2.31421038819
447;52;ECOLE ELEMENTAIRE;4 RUE MAURICE ROUVIER;75014;14-52;"{""type"": ""Point"", ""coordinates"": [2.310482978657417, 48.83066315433933]}";48.8306631543, 2.31048297866
461;9;COLLEGE CLAUDE DEBUSSY;4 PLACE DU COMMERCE;75015;15-9;"{""type"": ""Point"", ""coordinates"": [2.291597654249927, 48.845291480075105]}";48.8452914801, 2.29159765425
471;19;ECOLE MATERNELLE;3 PLACE DU CARDINAL AMETTE;75015;15-19;"{""type"": ""Point"", ""coordinates"": [2.297107581517179, 48.85093752713476]}";48.8509375271, 2.29710758152
482;30;COLLEGE GEORGES DUHAMEL;13 RUE DES VOLONTAIRES;75015;15-30;"{""type"": ""Point"", ""coordinates"": [2.307233830678859, 48.84264715788386]}";48.8426471579, 2.30723383068
491;39;ECOLE MATERNELLE;15 RUE ARISTIDE MAILLOL;75015;15-39;"{""type"": ""Point"", ""coordinates"": [2.312413080018792, 48.83785580476378]}";48.8378558048, 2.31241308002
492;40;ECOLE ELEMENTAIRE;17 RUE VIGEE LEBRUN;75015;15-40;"{""type"": ""Point"", ""coordinates"": [2.31095551406725, 48.83885497248719]}";48.8388549725, 2.31095551407
493;41;ECOLE ELEMENTAIRE;17 RUE VIGEE LEBRUN;75015;15-41;"{""type"": ""Point"", ""coordinates"": [2.31095551406725, 48.83885497248719]}";48.8388549725, 2.31095551407
494;42;ECOLE ELEMENTAIRE;11 RUE VIGEE LEBRUN;75015;15-42;"{""type"": ""Point"", ""coordinates"": [2.310576963311731, 48.839038412166985]}";48.8390384122, 2.31057696331
495;43;ECOLE MATERNELLE;102 RUE D ALLERAY;75015;15-43;"{""type"": ""Point"", ""coordinates"": [2.30955831963094, 48.83621202075149]}";48.8362120208, 2.30955831963
500;48;ECOLE ELEMENTAIRE;5 AVENUE DE LA PORTE BRANCION;75015;15-48;"{""type"": ""Point"", ""coordinates"": [2.301234438320686, 48.82730183276835]}";48.8273018328, 2.30123443832
503;51;ECOLE MATERNELLE;40 RUE DES MORILLONS;75015;15-51;"{""type"": ""Point"", ""coordinates"": [2.301554988584833, 48.83240264592155]}";48.8324026459, 2.30155498858
506;54;ECOLE ELEMENTAIRE;27 RUE OLIVIER DE SERRES;75015;15-54;"{""type"": ""Point"", ""coordinates"": [2.2968603794471623, 48.83561984016855]}";48.8356198402, 2.29686037945
6;6;CONSERVATOIRE W. A. MOZART;7 PASSAGE DE LA CANOPEE;75001;1-6;"{""type"": ""Point"", ""coordinates"": [2.347819070621493, 48.861470009456895]}";48.8614700095, 2.34781907062
13;3;INHA;2 RUE VIVIENNE;75002;2-3;"{""type"": ""Point"", ""coordinates"": [2.338842462716922, 48.866498787087174]}";48.8664987871, 2.33884246272
19;9;ECOLE ELEMENTAIRE;44 RUE DUSSOUBS;75002;2-9;"{""type"": ""Point"", ""coordinates"": [2.349802383835784, 48.867408636323994]}";48.8674086363, 2.34980238384
25;5;ECOLE ELEMENTAIRE;10 bis RUE DES QUATRE FILS;75003;3-5;"{""type"": ""Point"", ""coordinates"": [2.36015618521516, 48.860411910427324]}";48.8604119104, 2.36015618522
43;8;MAIRIE DE PARIS - DIRECTION DES AFFAIRES SCOLAIRES;3 RUE DE L ARSENAL;75004;4-8;"{""type"": ""Point"", ""coordinates"": [2.365403861907055, 48.85008325936047]}";48.8500832594, 2.36540386191
48;13;ECOLE ELEMENTAIRE;16 RUE DU RENARD;75004;4-13;"{""type"": ""Point"", ""coordinates"": [2.35249030619384, 48.85911493534956]}";48.8591149353, 2.35249030619
49;14;COLLÈGE FRANÇOIS COUPERIN;2 ALLEE DES JUSTES DE FRANCE;75004;4-14;"{""type"": ""Point"", ""coordinates"": [2.3562783875392572, 48.855059687213114]}";48.8550596872, 2.35627838754
50;1;MAIRIE D'ARRONDISSEMENT;21 PLACE DU PANTHEON;75005;5-1;"{""type"": ""Point"", ""coordinates"": [2.344580878581956, 48.84619171795158]}";48.846191718, 2.34458087858
55;6;ECOLE ELEMENTAIRE;2 RUE PIERRE BROSSOLETTE;75005;5-6;"{""type"": ""Point"", ""coordinates"": [2.347603594613063, 48.841970806812675]}";48.8419708068, 2.34760359461
70;21;ECOLE MATERNELLE;27 RUE DE POISSY;75005;5-21;"{""type"": ""Point"", ""coordinates"": [2.352277926963504, 48.848592943281496]}";48.8485929433, 2.35227792696
80;6;ECOLE MATERNELLE;39 RUE SAINT ANDRE DES ARTS;75006;6-6;"{""type"": ""Point"", ""coordinates"": [2.341305616377273, 48.85327368270844]}";48.8532736827, 2.34130561638
84;10;LYCEE MONTAIGNE;15 RUE AUGUSTE COMTE;75006;6-10;"{""type"": ""Point"", ""coordinates"": [2.3358956174491, 48.84421471684605]}";48.8442147168, 2.33589561745
85;11;MAIRIE D'ARRONDISSEMENT;19 RUE MADAME;75006;6-11;"{""type"": ""Point"", ""coordinates"": [2.331947933882063, 48.85051072719964]}";48.8505107272, 2.33194793388
86;12;ECOLE ELEMENTAIRE;42 RUE MADAME;75006;6-12;"{""type"": ""Point"", ""coordinates"": [2.331603605181276, 48.848942265206475]}";48.8489422652, 2.33160360518
92;18;ECOLE DES PSYCHOLOGUES PRATICIENS;23 RUE DU MONTPARNASSE;75006;6-18;"{""type"": ""Point"", ""coordinates"": [2.327433627476335, 48.84420332768223]}";48.8442033277, 2.32743362748
104;8;ECOLE POLYVALENTE;8 RUE CHOMEL;75007;7-8;"{""type"": ""Point"", ""coordinates"": [2.325549477316556, 48.85217391522867]}";48.8521739152, 2.32554947732
114;18;COLLEGE JULES ROMAINS;6 RUE CLER;75007;7-18;"{""type"": ""Point"", ""coordinates"": [2.305433795829927, 48.85846458527289]}";48.8584645853, 2.30543379583
115;19;COLLEGE JULES ROMAINS;6 RUE CLER;75007;7-19;"{""type"": ""Point"", ""coordinates"": [2.305433795829927, 48.85846458527289]}";48.8584645853, 2.30543379583
116;20;CONSERVATOIRE MUNICIPAL DU VIIEME;135 bis RUE DE L UNIVERSITE;75007;7-20;"{""type"": ""Point"", ""coordinates"": [2.307334003961107, 48.86106042067828]}";48.8610604207, 2.30733400396
131;10;ECOLE ELEMENTAIRE;20 RUE DE SURENE;75008;8-10;"{""type"": ""Point"", ""coordinates"": [2.320336219520768, 48.87113718823996]}";48.8711371882, 2.32033621952
142;3;MAIRIE D'ARRONDISSEMENT;6 RUE DROUOT;75009;9-3;"{""type"": ""Point"", ""coordinates"": [2.340480602036985, 48.872591611353904]}";48.8725916114, 2.34048060204
146;7;LYCEE CONDORCET;65 RUE DE CAUMARTIN;75009;9-7;"{""type"": ""Point"", ""coordinates"": [2.328300828499863, 48.8747129395615]}";48.8747129396, 2.3283008285
153;14;ECOLE ELEMENTAIRE;12 RUE CHAPTAL;75009;9-14;"{""type"": ""Point"", ""coordinates"": [2.333632148053427, 48.880824655934525]}";48.8808246559, 2.33363214805
155;16;ECOLE ELEMENTAIRE;32 RUE DE BRUXELLES;75009;9-16;"{""type"": ""Point"", ""coordinates"": [2.328801395642384, 48.88299974956884]}";48.8829997496, 2.32880139564
156;17;ECOLE ELEMENTAIRE;10 RUE DE CLICHY;75009;9-17;"{""type"": ""Point"", ""coordinates"": [2.330467370477211, 48.8777269119818]}";48.877726912, 2.33046737048
158;19;GYMNASE PAUL GAUGUIN;35 RUE MILTON;75009;9-19;"{""type"": ""Point"", ""coordinates"": [2.342345235504527, 48.87923075318607]}";48.8792307532, 2.3423452355
159;20;ECOLE ELEMENTAIRE;10 RUE HIPPOLYTE LEBAS;75009;9-20;"{""type"": ""Point"", ""coordinates"": [2.34043231004152, 48.87719337172559]}";48.8771933717, 2.34043231004
161;22;LYCEE LAMARTINE;121 RUE DU FAUBOURG POISSONNIERE;75009;9-22;"{""type"": ""Point"", ""coordinates"": [2.349089438924371, 48.87838140002077]}";48.8783814, 2.34908943892
164;25;LYCEE JACQUES DECOUR;12 AVENUE TRUDAINE;75009;9-25;"{""type"": ""Point"", ""coordinates"": [2.343423695492619, 48.88148628151363]}";48.8814862815, 2.34342369549
169;3;ECOLE MATERNELLE;2 RUE PIERRE BULLET;75010;10-3;"{""type"": ""Point"", ""coordinates"": [2.35798130113703, 48.871473270694544]}";48.8714732707, 2.35798130114
178;12;GYMNASE BUISSON SAINT-LOUIS;2 RUE DU BUISSON SAINT LOUIS;75010;10-12;"{""type"": ""Point"", ""coordinates"": [2.372476969039184, 48.871757943676236]}";48.8717579437, 2.37247696904
180;14;ECOLE ELEMENTAIRE;200 RUE SAINT MAUR;75010;10-14;"{""type"": ""Point"", ""coordinates"": [2.371684842862423, 48.87223208263676]}";48.8722320826, 2.37168484286
184;18;CENTRE ANIMATION GRANGE AUX BELLES;6 RUE BOY ZELENSKI;75010;10-18;"{""type"": ""Point"", ""coordinates"": [2.368277747244554, 48.87698187584886]}";48.8769818758, 2.36827774724
189;23;ECOLE ELEMENTAIRE;216 bis RUE LA FAYETTE;75010;10-23;"{""type"": ""Point"", ""coordinates"": [2.367400654616489, 48.88182601542487]}";48.8818260154, 2.36740065462
191;25;ECOLE ELEMENTAIRE;49 bis RUE LOUIS BLANC;75010;10-25;"{""type"": ""Point"", ""coordinates"": [2.3625162520929512, 48.882409492853064]}";48.8824094929, 2.36251625209
197;31;COLLEGE BERNARD PALISSY;21 RUE DES PETITS HOTELS;75010;10-31;"{""type"": ""Point"", ""coordinates"": [2.352858995710645, 48.87746346267527]}";48.8774634627, 2.35285899571
200;34;ECOLE ELEMENTAIRE;41 RUE DE CHABROL;75010;10-34;"{""type"": ""Point"", ""coordinates"": [2.353018651116572, 48.87681431371539]}";48.8768143137, 2.35301865112
201;35;ECOLE ELEMENTAIRE;9 RUE MARTEL;75010;10-35;"{""type"": ""Point"", ""coordinates"": [2.352914620723137, 48.87397516876514]}";48.8739751688, 2.35291462072
214;9;ECOLE ELEMENTAIRE;10 RUE KELLER;75011;11-9;"{""type"": ""Point"", ""coordinates"": [2.376473560592383, 48.85411494370334]}";48.8541149437, 2.37647356059
217;12;ECOLE MATERNELLE;9 RUE POPINCOURT;75011;11-12;"{""type"": ""Point"", ""coordinates"": [2.377318737969334, 48.857379064370576]}";48.8573790644, 2.37731873797
221;16;ECOLE ELEMENTAIRE;17 RUE ALPHONSE BAUDIN;75011;11-16;"{""type"": ""Point"", ""coordinates"": [2.370129188219179, 48.8611104939147]}";48.8611104939, 2.37012918822
